,0
0,0.5326495
1,0.42533064
2,0.4019578
3,0.39168808
4,0.38258034
5,0.3632055
6,0.3563356
7,0.3504567
8,0.34297663
9,0.34152862
10,0.3337657
11,0.3531552
12,0.3344474
13,0.3279141
14,0.33183935
15,0.3221685
16,0.32258508
17,0.3163236
18,0.314206
19,0.31273365
20,0.31567258
21,0.3124178
22,0.33120108
23,0.3139633
24,0.31130776
25,0.31370795
26,0.30764812
27,0.3091256
28,0.3036509
29,0.3075379
30,0.30505607
31,0.3050636
32,0.3065139
33,0.30641657
34,0.31247514
35,0.30270997
36,0.30827394
37,0.30050185
38,0.3028695
39,0.3042178
40,0.2977237
41,0.29847354
42,0.296228
43,0.30089092
44,0.3200096
45,0.31328055
46,0.30830333
47,0.30240142
48,0.29610294
49,0.30126512
50,0.29524997
51,0.29919535
52,0.29282
53,0.2958054
54,0.29925853
55,0.3073023
56,0.29311126
57,0.30569893
58,0.2910643
59,0.2907759
60,0.2989106
61,0.2902828
62,0.29343268
63,0.28851753
64,0.28963354
65,0.29042011
66,0.31883746
67,0.29518104
68,0.29278728
69,0.29982823
70,0.29805493
71,0.29307592
72,0.29038292
73,0.29567558
74,0.2871595
75,0.28893644
76,0.3123557
77,0.30390084
78,0.2900568
79,0.29382852
80,0.29482043
81,0.29569262
82,0.29075706
83,0.29214537
84,0.3046499
85,0.287656
86,0.28832018
87,0.28972232
88,0.36622092
89,0.30990016
90,0.30408567
91,0.29233828
92,0.29621613
93,0.29438674
94,0.29705313
95,0.2934176
96,0.29034373
97,0.2910208
98,0.28914723
99,0.3030688
100,0.29841512
101,0.29526767
102,0.29270574
103,0.29260123
104,0.29668647
105,0.29469773
106,0.2956527
107,0.29371038
108,0.29256624
109,0.29663298
110,0.29725823
111,0.29600975
112,0.29483992
113,0.3052743
114,0.28950083
115,0.29285976
116,0.2960974
117,0.30360132
118,0.2952738
119,0.30388612
120,0.2954494
121,0.3337077
122,0.316951
123,0.29852408
124,0.29640508
125,0.30968288
126,0.30595106
127,0.3027639
128,0.29597223
129,0.3011892
130,0.29948395
131,0.29927224
132,0.30390975
133,0.3045654
134,0.30470806
135,0.3011698
136,0.3112988
137,0.30685464
138,0.3120829
139,0.30690178
140,0.3086527
141,0.30380172
142,0.31258374
143,0.30773953
144,0.3123955
145,0.31236193
146,0.31298763
147,0.3103274
148,0.30958998
149,0.31153357
150,0.30975145
151,0.31406915
152,0.30961344
153,0.31051862
154,0.31358558
155,0.33313844
156,0.31215566
157,0.31046817
158,0.31603754
159,0.31520608
160,0.3153622
161,0.31508425
162,0.31775907
163,0.32078266
164,0.3178097
165,0.32523903
166,0.32560477
167,0.32387388
168,0.3184198
169,0.31508335
170,0.31707525
171,0.32447183
172,0.3218533
173,0.33320647
174,0.32103252
175,0.3250542
176,0.32495734
177,0.32188565
178,0.325551
179,0.32324618
180,0.3361508
181,0.33198804
182,0.3322398
183,0.33239284
184,0.3316281
185,0.33092865
186,0.3348975
187,0.33721942
188,0.33353207
189,0.33449328
190,0.3327077
191,0.33988822
192,0.339796
193,0.3396156
194,0.33741134
195,0.34063724
196,0.33551252
197,0.34580687
198,0.33811826
199,0.3379556
200,0.36347726
201,0.3522692
202,0.3423419
203,0.34423953
204,0.34694475
205,0.34331223
206,0.34910685
207,0.3445844
208,0.35588163
209,0.3666589
210,0.35254595
211,0.34839514
212,0.35386923
213,0.35141742
214,0.35977668
215,0.35396188
216,0.3572046
217,0.35563773
218,0.35171592
219,0.36153406
220,0.35812527
221,0.3733999
222,0.35768053
223,0.35923645
224,0.3610123
225,0.36933172
226,0.36694354
227,0.35937256
228,0.36223397
229,0.36553463
230,0.36610067
231,0.37423947
232,0.37757528
233,0.36931756
234,0.3809632
235,0.37134764
236,0.3703775
237,0.3667499
238,0.3784305
239,0.37269914
240,0.3769318
241,0.38006705
242,0.39096066
243,0.3850493
244,0.37961975
245,0.37832218
246,0.3876681
247,0.38647577
248,0.38180372
249,0.3807696
250,0.385428
251,0.3859679
252,0.37773323
253,0.37987125
254,0.39401323
255,0.38376236
256,0.3935979
257,0.38883957
258,0.38610798
259,0.3909671
260,0.3874073
261,0.39243162
262,0.3923149
263,0.3864802
264,0.39173228
265,0.3872816
266,0.39253992
267,0.38771456
268,0.3988071
269,0.39931294
270,0.39937925
271,0.39356565
272,0.4018704
273,0.39963138
274,0.39972022
275,0.4386632
276,0.40128928
277,0.4129209
278,0.40919977
279,0.4064727
280,0.4116977
281,0.4067796
282,0.4127014
283,0.41702494
284,0.40785882
285,0.40585935
286,0.40916303
287,0.41354448
288,0.41601005
289,0.4127851
290,0.41354972
291,0.4169299
292,0.41844156
293,0.4192357
294,0.4158276
295,0.42107338
296,0.41878244
297,0.42703322
298,0.420111
299,0.4275129
300,0.4209079
301,0.42625105
302,0.43052584
303,0.42079926
304,0.4216542
305,0.4259287
306,0.42260128
307,0.43173292
308,0.43029258
309,0.42974094
310,0.42882487
311,0.43527046
312,0.4339771
313,0.43174502
314,0.42894846
315,0.43371174
316,0.43594953
317,0.4415661
318,0.42936215
319,0.44555873
320,0.4425553
321,0.4396564
322,0.43932062
323,0.44323924
324,0.440371
325,0.44413325
326,0.43670198
327,0.45577204
328,0.4427196
329,0.43876988
330,0.5261412
331,0.43434367
332,0.44238436
333,0.45393565
334,0.44204265
335,0.44630784
336,0.4449541
337,0.44875813
338,0.45510024
339,0.45587698
340,0.44853812
341,0.4514547
342,0.45456347
343,0.46195433
344,0.4549731
345,0.4575238
346,0.45597795
347,0.46055263
348,0.4608326
349,0.45577443
350,0.45830026
351,0.4669605
352,0.46628505
353,0.4566072
354,0.47415087
355,0.45753115
356,0.47312495
357,0.4626742
358,0.46876305
359,0.4637453
360,0.46647117
361,0.46850953
362,0.47323233
363,0.4692917
364,0.4899476
365,0.46782398
366,0.4728147
367,0.47270152
368,0.47256467
369,0.46884447
370,0.48480558
371,0.47279885
372,0.48587403
373,0.47962612
374,0.48834917
375,0.48139477
376,0.53167015
377,0.47416878
378,0.48113376
379,0.47760174
380,0.48564333
381,0.47789425
382,0.48331392
383,0.48176652
384,0.48559147
385,0.47969645
386,0.48896173
387,0.48862693
388,0.48947266
389,0.4966016
390,0.48170096
391,0.4957158
392,0.48588517
393,0.49342778
394,0.49580112
395,0.49040794
396,0.52417743
397,0.49144107
398,0.49328506
399,0.49248776
400,0.49162266
401,0.49369574
402,0.49257517
403,0.5054713
404,0.49757642
405,0.49550736
406,0.4933573
407,0.5090755
408,0.5069835
409,0.4976327
410,0.4990562
411,0.49942398
412,0.5072611
413,0.49508336
414,0.5061135
415,0.5013554
416,0.507542
417,0.5048155
418,0.5118445
419,0.50350887
420,0.5049604
421,0.5078805
422,0.50699174
423,0.5114559
424,0.5067388
425,0.50779736
426,0.5150851
427,0.5091035
428,0.51218563
429,0.5115029
430,0.5142134
431,0.5251584
432,0.5139549
433,0.51711535
434,0.51379067
435,0.5187024
436,0.5145761
437,0.5172781
438,0.5189098
439,0.51005274
440,0.51751196
441,0.52443856
442,0.5213557
443,0.52516323
444,0.52462363
445,0.52313495
446,0.520785
447,0.52470773
448,0.5236726
449,0.5228206
450,0.52193624
451,0.5343674
452,0.5178406
453,0.53469145
454,0.5246994
455,0.5258445
456,0.5261337
457,0.53327835
458,0.5327524
459,0.52808243
460,0.5313599
461,0.52616215
462,0.5294042
463,0.53407925
464,0.52974635
465,0.52640474
466,0.53198487
467,0.5369597
468,0.5320236
469,0.5308015
470,0.53453434
471,0.535589
472,0.5313776
473,0.5336741
474,0.5360954
475,0.5400446
476,0.5366647
477,0.53906846
478,0.53341734
479,0.54458874
480,0.5358681
481,0.54046065
482,0.5425127
483,0.55182
484,0.54527235
485,0.5450589
486,0.547077
487,0.54288614
488,0.54500765
489,0.54883564
490,0.54723054
491,0.5461911
492,0.54693407
493,0.54483485
494,0.5448636
495,0.548833
496,0.55472183
497,0.5481958
498,0.5465729
499,0.5576112
500,0.5482735
501,0.5523726
502,0.54817736
503,0.5546584
504,0.5543604
505,0.5577173
506,0.55701095
507,0.56023633
508,0.557252
509,0.55653435
510,0.5556838
511,0.55354697
512,0.5616271
513,0.5579413
514,0.56065726
515,0.56397635
516,0.55787
517,0.5616853
518,0.56475073
519,0.5634269
520,0.5616151
521,0.5605976
522,0.5703976
523,0.5609062
524,0.5691406
525,0.5633558
526,0.55958325
527,0.577031
528,0.5692905
529,0.57022804
530,0.56251377
531,0.5764874
532,0.5676211
533,0.5697022
534,0.566253
535,0.57358086
536,0.56584346
537,0.5771297
538,0.5654902
539,0.5773099
540,0.5707869
541,0.5762449
542,0.5701569
543,0.57581794
544,0.572929
545,0.5740698
546,0.58044463
547,0.5710118
548,0.5767356
549,0.5792394
